response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2691,0.0000,0.0000,0.0000,1.2260,0.0429,200,13.1230
1.5998,0.0000,0.0000,0.0001,1.5424,0.0573,200,12.9284
1.7214,0.0000,0.0000,0.0000,1.6340,0.0872,200,12.8682
1.5816,0.0000,0.0000,0.0001,1.5269,0.0546,200,13.0385
1.4786,0.0000,0.0000,0.0000,1.4243,0.0542,200,13.2244
1.5777,0.0000,0.0000,0.0000,1.5130,0.0646,200,13.2120
1.5826,0.0000,0.0000,0.0000,1.5320,0.0505,200,13.3932
1.7320,0.0000,0.0000,0.0001,1.6783,0.0535,200,13.5077
1.7349,0.0000,0.0000,0.0000,1.6690,0.0659,200,13.8165
1.4756,0.0000,0.0000,0.0001,1.4092,0.0663,200,14.0942
1.3363,0.0000,0.0000,0.0000,1.2796,0.0566,200,14.5896
1.5124,0.0000,0.0000,0.0001,1.4580,0.0542,200,14.5282
1.3246,0.0000,0.0000,0.0000,1.2680,0.0564,200,14.7897
1.5949,0.0000,0.0000,0.0000,1.5357,0.0591,200,14.6201
1.6378,0.0000,0.0000,0.0000,1.5592,0.0785,200,14.7029
1.9590,0.0000,0.0000,0.0000,1.8966,0.0623,200,14.3920
1.4381,0.0000,0.0000,0.0000,1.3892,0.0488,200,14.9758
1.4609,0.0000,0.0000,0.0000,1.4159,0.0449,200,15.2396
1.4051,0.0000,0.0000,0.0000,1.3526,0.0524,200,15.5514
1.4569,0.0000,0.0000,0.0000,1.4077,0.0491,200,15.5698
1.3514,0.0000,0.0000,0.0000,1.3045,0.0468,200,16.0406
1.5453,0.0000,0.0000,0.0000,1.4912,0.0540,200,15.9259
1.5771,0.0000,0.0000,0.0000,1.5081,0.0689,200,16.1142
1.5005,0.0000,0.0000,0.0001,1.4321,0.0682,200,16.2150
1.5013,0.0000,0.0000,0.0000,1.4481,0.0531,200,16.3510
1.6124,0.0000,0.0000,0.0000,1.5482,0.0641,200,16.3408
